"Daily Weather Observations for Ballarat, Victoria for November 2021"
"Prepared at 16:01 UTC on Tuesday  7 June 2022   IDCJDW3005.202111"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-11-1,3.6,22.4,0.2,,,E,31,19:02,14.6,59,,N,22,1024.1,21.3,40,2,WNW,9,1022.7
,2021-11-2,7.4,26.2,0,,,N,56,22:33,18.4,48,,N,22,1022.3,24.9,32,,N,33,1018.7
,2021-11-3,17.3,18.6,0,,,N,61,23:35,18.2,61,8,NNW,33,1016.3,15.7,96,8,NW,9,1017.2
,2021-11-4,9.1,17.9,23.6,,,SE,48,13:42,11.1,80,7,ESE,30,1024.9,17.3,56,,SE,31,1023.6
,2021-11-5,8.7,24.0,0,,,E,46,02:05,13.7,87,6,E,26,1021.1,22.6,54,6,E,6,1015.5
,2021-11-6,13.7,20.8,0,,,NW,56,15:16,16.7,88,8,N,28,1009.2,19.0,90,5,NNW,20,1005.6
,2021-11-7,9.8,14.0,6.0,,,ESE,33,17:12,10.3,92,8,SE,20,1009.7,13.1,76,8,SE,19,1008.8
,2021-11-8,5.0,14.1,0,,,SSE,31,07:40,9.6,65,7,SSE,24,1012.0,13.0,59,8,SSW,17,1012.2
,2021-11-9,3.3,17.6,0,,,W,28,12:37,11.8,66,,E,13,1012.4,16.7,49,8,SW,9,1011.0
,2021-11-10,6.7,14.3,10.6,,,SSE,39,15:45,7.9,91,8,SSE,13,1011.0,12.9,52,8,SSW,22,1009.0
,2021-11-11,3.9,14.4,0.2,,,SE,56,20:13,8.8,79,8,SSE,28,1009.3,12.5,53,2,SE,35,1004.3
,2021-11-12,7.6,12.0,1.0,,,SE,74,13:50,8.8,92,8,SSE,35,997.3,10.8,87,8,ESE,50,996.7
,2021-11-13,7.0,12.7,7.8,,,SSE,44,09:46,7.3,94,8,SSE,20,1004.9,10.9,61,8,S,24,1006.2
,2021-11-14,1.0,11.6,0,,,SW,76,13:32,7.5,85,8,WNW,28,1003.4,8.0,89,8,SW,24,1003.2
,2021-11-15,2.9,11.3,9.0,,,SSW,57,23:27,5.3,89,8,SSW,19,1009.3,10.7,53,8,S,26,1011.0
,2021-11-16,3.9,11.4,1.6,,,SSW,28,12:34,7.0,84,8,SSE,15,1018.8,9.7,71,8,SSW,17,1020.2
,2021-11-17,2.4,18.3,0,,,ENE,26,07:19,8.5,74,7,ESE,15,1022.7,16.8,53,4,W,13,1019.9
,2021-11-18,7.8,23.8,0,,,NNW,70,13:44,13.9,58,7,NNW,31,1013.6,22.0,40,1,NW,48,1006.0
,2021-11-19,8.9,15.6,0.2,,,ESE,39,07:45,11.9,70,8,ESE,30,1013.0,14.5,58,8,NNE,7,1012.6
,2021-11-20,7.5,17.1,0,,,ESE,39,16:18,10.3,76,8,ESE,22,1014.2,15.2,50,3,SE,20,1014.0
,2021-11-21,5.2,16.8,0,,,ESE,46,08:06,10.2,70,8,ESE,33,1018.8,15.7,58,1,ESE,30,1019.0
,2021-11-22,9.0,23.3,0,,,E,48,00:22,13.9,73,,E,22,1021.4,22.1,46,,NW,9,1018.9
,2021-11-23,13.0,21.4,0,,,NNW,46,09:45,15.6,71,7,NNW,26,1017.3,20.5,62,6,NW,22,1014.7
,2021-11-24,14.0,25.6,5.2,,,NNW,31,07:22,18.0,89,8,NNW,19,1014.6,24.4,51,1,WSW,7,1012.0
,2021-11-25,12.4,13.9,0,,,ESE,52,21:34,13.3,91,8,ESE,24,1012.5,12.8,92,8,ESE,24,1012.0
,2021-11-26,7.4,17.2,1.8,,,E,59,10:48,9.7,97,8,SE,28,1015.6,15.2,72,8,E,35,1016.7
,2021-11-27,8.5,17.7,0,,,ENE,69,07:47,12.4,67,8,E,48,1021.8,16.8,54,1,E,37,1021.2
,2021-11-28,8.2,20.7,0,,,ENE,44,23:03,13.8,73,,ENE,22,1023.3,19.6,52,,SE,20,1019.9
,2021-11-29,6.3,25.9,0,,,ENE,35,18:34,17.4,57,,NW,20,1018.3,24.7,32,1,SW,17,1015.9
,2021-11-30,12.4,28.3,0,,,NW,35,08:40,21.2,54,,NW,20,1015.8,27.4,35,,W,13,1012.8